mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.07265491485595703,0.007071488510329444,0.0021638870239257812,0.004391165660603252,0.01,50,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(50)}",0.41786498791144655,0.35907033650581743,0.3671438581997166,0.2959270053913311,0.38421030841962267,0.39179874485229027,0.22660336889367427,0.3654667129129955,0.30722806866837826,0.4665946827532155,0.3581908074508488,0.06406404697470963,169,0.39037686712167896,0.39096317055914387,0.39327472210215264,0.39689813031849785,0.39737457061964265,0.39374177384152664,0.4154053027608381,0.39864112376354355,0.4073208880766527,0.3887327240865136,0.397272927325019,0.007877345732652644
0.12033460140228272,0.012686806419370407,0.0016396760940551758,0.0042925616360197,0.01,85,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(85)}",0.5561441146537205,0.48550692016821695,0.48577186810862605,0.40114272340597257,0.4901503166554647,0.5180488739439835,0.2822944489861434,0.48469732999111337,0.40251311406653256,0.5981064200914677,0.47043761300712417,0.08472265573933044,168,0.5268280452938614,0.5249122904015479,0.5311085510344189,0.5304428040197796,0.5340561377768054,0.5259839111285269,0.5525483431716509,0.5316339340742187,0.5412897493409201,0.5233188932785977,0.5322122659520327,0.008391687619445727
0.16583678722381592,0.008469662970530433,0.00013523101806640626,0.00040569305419921873,0.01,120,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(120)}",0.6365600619447196,0.5600388037610995,0.5542878543930332,0.4600325808289447,0.5479608765537975,0.591111712991077,0.3049958488588125,0.5424564217023926,0.46316370546356,0.6662060719400482,0.5326813938437486,0.09773907445052915,157,0.6087955672373389,0.6046571680753774,0.6126967072856164,0.6110886171712218,0.6198230496080614,0.6074672567870295,0.6348659607257442,0.6164474102717359,0.6213272746758579,0.6049805451554285,0.6142149556993413,0.008815268490754391
0.21934778690338136,0.0090989993380004,0.00020039081573486328,0.0006011724472045898,0.01,155,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(155)}",0.6812708768465494,0.5975458807226062,0.5858197662286957,0.4991101216662568,0.5704596887274821,0.635060536696916,0.31831017807878204,0.5737655626583471,0.4957268736107182,0.7023036745866232,0.5659373159822978,0.10433904336395709,122,0.6596736608264504,0.6580546162870575,0.6642502501909772,0.6613585749430768,0.6742632826093984,0.6567121550044959,0.6841715605300545,0.6691363123316507,0.6713974906582609,0.6545566830088789,0.6653574586390303,0.008822119513359632
0.26392822265625,0.005750648478958395,0.000691986083984375,0.0010915985424545676,0.01,190,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(190)}",0.7093291780280779,0.6271644842239812,0.6043703178186399,0.5231001361164527,0.5822972684161798,0.6616427822781371,0.32812188217998606,0.6016042302370077,0.5127795706791316,0.7232680059690781,0.5873677855946673,0.10856502526587727,78,0.6912881303798819,0.6896434464617485,0.6955030070379702,0.693369469336055,0.7095607223690332,0.687924045424319,0.7150650804734013,0.7025718040156308,0.7026506320742991,0.685916978345603,0.6973493315917942,0.009237129380711851
0.3110135555267334,0.012373266616610841,0.0021259069442749025,0.004895772623956212,0.01,225,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(225)}",0.7253478860356652,0.6473670947314223,0.6219846673737739,0.53537518353194,0.5983892356182348,0.6793153917114144,0.33479963970512294,0.6194606651763488,0.5265002072959462,0.7392990031310505,0.602783897431092,0.111511359136912,61,0.7128126210919652,0.7124304576900731,0.7179035918529882,0.7163222145598225,0.7323135870439359,0.7105550041114281,0.7359040503258691,0.724039036594518,0.7241963833617083,0.7066099131625475,0.7193086859794857,0.009105423295481536
0.36484172344207766,0.013573634030836957,0.003294634819030762,0.00658938362313546,0.01,260,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(260)}",0.7368763211527195,0.6576864715857804,0.634741660095486,0.5431241265574993,0.6023151928431957,0.6927759544809945,0.34223217111284576,0.6324394021056894,0.5388468261159347,0.7503106096820112,0.6131348735732156,0.11279262010855087,51,0.7319353212006049,0.7330082784692884,0.7350330600404378,0.7324576380982332,0.7503353161438935,0.7276444418488063,0.7517422931322546,0.7409897063108828,0.7435040421815184,0.7259125949232204,0.737256269234914,0.008539749303236267
0.41621377468109133,0.00828984094577108,0.0018262624740600585,0.004847634192119565,0.01,295,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(295)}",0.744647877592913,0.6701417831558522,0.6432971401850016,0.5571958143283188,0.5994490461958564,0.7037323022437073,0.3503999431421445,0.6441748408206317,0.5485502542397911,0.759421166064145,0.622101016796836,0.11302196822431507,45,0.7495666531576912,0.7493165663515635,0.7510299287324314,0.7479172861239275,0.7653460439637827,0.7440995698009014,0.767696035973146,0.7570535152331568,0.7582538894634193,0.7411659223832247,0.7531445411183244,0.008285876294431914
0.46492464542388917,0.01079868816524985,0.0012943267822265625,0.0010856243159045723,0.01,330,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(330)}",0.7493932567272708,0.6767594469153304,0.6494044238856471,0.5672477099408073,0.5951552693641429,0.7128743791369195,0.3593107447641789,0.6549167924970497,0.5557309163816192,0.7662313015540327,0.6287024241166999,0.11260081788936924,35,0.7625680339758226,0.7620504664625902,0.7643737692785477,0.7610523710709948,0.7773618336431708,0.7576447473465219,0.7802256778533097,0.7696425289374714,0.7708745991238894,0.7550098856226916,0.766080391331501,0.007832751785936409
0.5209079265594483,0.01714241431537533,0.0010019779205322266,0.0010019781043413268,0.01,365,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(365)}",0.7536385909535933,0.6822149887553367,0.6530228704537515,0.575068325489976,0.5881697670459338,0.7199563320981544,0.3652102158024406,0.6643637935985236,0.5620987244812645,0.7722444989584253,0.63359881076374,0.11287666905229121,30,0.7733695659903579,0.7716854460066698,0.7751901609120027,0.7720943174722881,0.7879486124807482,0.7683331902041357,0.789729897053851,0.7802537340771386,0.7820414723870716,0.7658266159711513,0.7766473012555415,0.007651179882955969
